# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0009215"	"purine deoxyribonucleoside triphosphate metabolic process"	0.0022285410785979165	-2.7231004454688197	0.9014993443534096	-0	null
"GO:0002181"	"cytoplasmic translation"	0.12046428693071752	-2.1872581233054236	0.9564388380489465	0.11227186	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0006711"	"estrogen catabolic process"	0.00013969959000166042	-1.7186740941288488	0.7800152661683883	0.59417767	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0006787"	"porphyrin-containing compound catabolic process"	0.024962986261010987	-2.5893313959922897	0.8998913648960493	0.1031573	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0006789"	"bilirubin conjugation"	9.978542142975744E-06	-1.7186740941288488	0.9272062340516	0.67933076	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0008202"	"steroid metabolic process"	0.25984788976451706	-1.9275628555612052	0.9378633053369922	0.1326119	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0009151"	"purine deoxyribonucleotide metabolic process"	0.00408122373647708	-2.7231004454688197	0.914622412541822	0.3056791	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0009200"	"deoxyribonucleoside triphosphate metabolic process"	0.008268885255812567	-2.3346968399396073	0.9109978483032201	0.48116912	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0009698"	"phenylpropanoid metabolic process"	0.08210344475240443	-1.7186740941288488	0.9304754862187081	0.14470323	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0016125"	"sterol metabolic process"	0.14975130812035134	-1.7468305103567388	0.9311731592040599	0.47321479	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0017001"	"antibiotic catabolic process"	0.039801078427615925	-1.932117322214289	0.9561067738192389	0.32667197	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0018879"	"biphenyl metabolic process"	5.987125285785447E-05	-1.455844050935086	0.9603797834370617	0.41640493	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0030574"	"collagen catabolic process"	0.008285516159384193	-1.462152368310941	0.9592962969660616	0.29769742	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0033015"	"tetrapyrrole catabolic process"	0.024969638622439637	-2.5893313959922897	0.9082440227811895	0.57536521	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0042537"	"benzene-containing compound metabolic process"	0.19396290217516252	-1.8131845083443585	0.9475021541778983	0.15490151	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0042744"	"hydrogen peroxide catabolic process"	0.1277353179722325	-1.3402567443845224	0.9338966469335406	0.46256245	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0046031"	"ADP metabolic process"	0.010593885575125916	-1.410505887477515	0.9124455466268627	0.50323104	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0046033"	"AMP metabolic process"	0.16471912133481495	-2.0017652112453885	0.8943629313195212	0.43742829	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0046226"	"coumarin catabolic process"	3.326180714325248E-05	-1.7186740941288488	0.918160635549493	0.49823024	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0052695"	"cellular glucuronidation"	0.000508905649291763	-1.3259474175715886	0.9466177067137511	0.65159347	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0052697"	"xenobiotic glucuronidation"	0.00010976396357273319	-1.7186740941288488	0.8487511780191435	0.51003913	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0070980"	"biphenyl catabolic process"	1.663090357162624E-05	-1.7186740941288488	0.8413236568504654	0.36261738	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0070995"	"NADPH oxidation"	0.000522210372149064	-1.4385459072793858	0.9253265627433358	0.32440505	"purine deoxyribonucleoside triphosphate metabolic process"
"GO:0032364"	"intracellular oxygen homeostasis"	0.0007716739257234576	-1.7552507818653968	0.9706647078115953	-0	null
"GO:0001678"	"intracellular glucose homeostasis"	0.04163380400120913	-1.5213057309706317	0.9622322590310277	0.63639292	"intracellular oxygen homeostasis"
"GO:0030007"	"intracellular potassium ion homeostasis"	0.007011588945797624	-1.7267980028859273	0.9673845626179296	0.51744719	"intracellular oxygen homeostasis"
"GO:0032963"	"collagen metabolic process"	0.017113199775203404	-2.719927918669069	0.991734871353629	0.01520205	null
"GO:0036376"	"sodium ion export across plasma membrane"	0.009396460517968826	-1.7267980028859273	0.9634421977422133	0.00590306	null
"GO:0055085"	"transmembrane transport"	13.53545668727302	-1.33140836406091	0.9649942850674039	0.34491886	"sodium ion export across plasma membrane"
"GO:0098655"	"monoatomic cation transmembrane transport"	2.923892461650467	-1.33140836406091	0.9538913247798514	0.50794942	"sodium ion export across plasma membrane"
"GO:0098739"	"import across plasma membrane"	0.2482993903243798	-1.3169792274602663	0.9714645565716482	0.22646598	"sodium ion export across plasma membrane"
"GO:0140115"	"export across plasma membrane"	0.11109443585846329	-1.463442807289388	0.9678648089891911	0.62146869	"sodium ion export across plasma membrane"
"GO:1990573"	"potassium ion import across plasma membrane"	0.008308799424384469	-1.463442807289388	0.9689603823702885	0.40620096	"sodium ion export across plasma membrane"
"GO:0043163"	"cell envelope organization"	0.06843949437795631	-2.2821414266480446	0.962300616714547	0.00543111	null
